# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
进,jìn,1,1,5,/to advance/to enter/to come (or go) into/to receive or admit/to eat or drink/to submit or present/(used after a verb) into in/to score a goal/
快,kuài,1,1,5,/rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant/
进来,jìnlai,1,1,5,/to come in/
来,lái,1,1,5,/to come/to arrive/to come round/ever since/next/
介绍,jièshào,1,1,5,/to present/to introduce/to recommend/to suggest/to let know/to brief/
一下,yí xià,1,1,5,/(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once/
高兴,gāoxìng,1,1,5,/happy/glad/willing (to do sth)/in a cheerful mood/
漂亮,piàoliang,1,1,5,/pretty/beautiful/
坐,zuò,1,1,5,/to sit/to take a seat/to take (a bus airplane etc)/to bear fruit/
在,zài,1,1,5,/(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)/
哪儿,nǎr,1,1,5,/where?/wherever/anywhere/
工作,gōngzuò,1,1,5,/job/work/construction/task/CL:個|个[ge4]份[fen4]
学校,xuéxiào,1,1,5,/school/CL:所[suo3]/
喝,hē,1,1,5,/to shout loudly/
点儿,diǎnr,1,1,5,/erhua variant of 點|点 point/dot/speck/drop/little bit/
茶,chá,1,1,5,/tea/tea plant/CL:杯[bei1]壺|壶[hu2]/
咖啡,kāfēi,1,1,5,/coffee/CL:杯[bei1]/
啤酒,píjiǔ,1,1,5,/beer/CL:杯[bei1]瓶[ping2]
酒,jiǔ,1,1,5,/wine (esp. rice wine)/liquor/spirits/alcoholic beverage/CL:杯[bei1]瓶[ping2]
吧,ba,1,1,5,/(modal particle indicating suggestion or surmise)/...right?/...OK?/...I presume./
要,yào,1,1,5,/important/vital/to want/will/going to (as future auxiliary)/may/must/
杯,bēi,1,1,5,/cup/classifier for certain containers of liquids: glass cup/
可乐,kělè,1,1,5,/amusing/entertaining/cola/
可以,kěyǐ,1,1,5,/can/may/possible/able to/
对不起,duìbuqǐ,1,1,5,/unworthy/to let down/I'm sorry/excuse me/pardon me/if you please/sorry? (please repeat)/
给,gěi,1,1,5,/to supply/to provide/
水,shuǐ,1,1,5,/water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes/
玩儿,wánr,1,1,5,/to play/to have fun/
图书馆,túshūguǎn,1,1,5,/library/CL:家[jia1]個|个[ge4]/
瓶,píng,1,1,5,/bottle/vase/pitcher/CL:個|个[ge4]/classifier for wine and liquids/
一起,yìqǐ,1,1,5,/in the same place/together/with/altogether (in total)/
聊天(儿),liáo tiān(r),1,1,5,
才,cái,1,1,5,/ability/talent/sb of a certain type/a capable individual/only/only then/just now/a moment ago/just now/(preceded by a clause of condition or reason) not until/(followed by a numerical clause) only/
回家,huí jiā,1,1,5,/to return home/
回,huí,1,1,5,/to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)/to curve/to return/to revolve/
给,gěi,1,1,6,/to supply/to provide/
打电话,dǎ diànhuà,1,1,6,/to make a telephone call/
电话,diànhuà,1,1,6,/telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number/
话,huà,1,1,6,/dialect/language/spoken words/speech/talk/words/conversation/what sb said/CL:種|种[zhong3]席[xi2]
喂,wèi,1,1,6,/hello (interj. esp. on telephone)/hey/to feed (sb or some animal)/to feed/
在,zài,1,1,6,/(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)/
就,jiù,1,1,6,/at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning/
哪,nǎ / něi,1,1,6,/which? (interrogative followed by classifier or numeral-classifier)/
位,wèi,1,1,6,/position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)/
下午,xiàwǔ,1,1,6,/afternoon/CL:個|个[ge4]/p.m./
时间,shíjiān,1,1,6,/time/period/CL:段[duan4]/
几,jǐ,1,1,6,/how much/how many/several/a few/
问题,wèntí,1,1,6,/question/problem/issue/topic/CL:個|个[ge4]/
要,yào,1,1,6,/important/vital/to want/will/going to (as future auxiliary)/may/must/
开会,kāi huì,1,1,6,/to hold a meeting/to attend a meeting/
开,kāi,1,1,6,/to open/to start/to turn on/to boil/to write out (a medical prescription)/to operate (vehicle)/abbr. for 開爾文|开尔文 degrees Kelvin/
上午,shàngwǔ,1,1,6,/morning/CL:個|个[ge4]/
节,jié,1,1,6,/festival/holiday/node/joint/section/segment/part/to economize/to save/to abridge/moral integrity/classifier for segments e.g. lessons
课,kè,1,1,6,/subject/course/class/lesson/CL:堂[tang2]节|節[jie2]
年级,niánjí,1,1,6,/grade/CL:個|个[ge4]/
考试,kǎoshì,1,1,6,/to take an exam/exam/CL:次[ci4]/
考,kǎo,1,1,6,/to check/to verify/to test/to examine/to take an exam/
以后,yǐhòu,1,1,6,/after/later/afterwards/following/later on/in the future/
有空(儿),yǒu kòng(r),1,1,6,
要是,yàoshi,1,1,6,/if/
方便,fāngbiàn,1,1,6,/convenient/to help out/to make things easy for people/convenience/suitable/having money to spare/(euphemism) to go to the toilet/
到…去,dào…qù,1,1,6,
办公室,bàngōngshì,1,1,6,/office/business premises/bureau/CL:間|间[jian1]/
行,xíng,1,1,6,/behavior/conduct/
没问题,méi wèntí,1,1,6,/no problem/
等,děng,1,1,6,/class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once/
不客气,bú kèqi,1,1,6,/you're welcome/impolite/rude/blunt/don't mention it/
客气,kèqi,1,1,6,/polite/
帮忙,bāng máng,1,1,6,/to help/to lend a hand/to do a favor/to do a good turn/
別客气,bié kèqì,1,1,6,
别,bié,1,1,6,/to make sb change their ways opinions etc/
下个星期,xiàge xīngqī,1,1,6,/next week/
下,xià,1,1,6,/down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/
中文,zhōngwén,1,1,6,/Chinese/Chinese written language/Chinese writing/
文,wén,1,1,6,/language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 118/
帮,bāng,1,1,6,/to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail boat etc)/outer layer/group/gang/clique/party/secret society/
练习,liànxí,1,1,6,/exercise/drill/practice/CL:個|个[ge4]/
说,shuō,1,1,6,/to speak/to say/a theory (usually in compounds such as 日心说 heliocentric theory)/
啊,a,1,1,6,/modal particle ending sentence showing affirmation
但是,dànshì,1,1,6,/but/however/
得,děi,1,1,6,/to have to/must/ought to/to need to/
知道,zhīdao,1,1,6,/to know/to be aware of/also pron. [zhi1 dao5]/
回来,huí lai,1,1,6,/to return/to come back/
跟,gēn,1,1,7,/heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)/
说话,shuō huà,1,1,7,/to speak/to say/to talk/to gossip/to tell stories/talk/word/
上个星期,shàngge xīngqī,1,1,7,/last week/
得,de,1,1,7,/to have to/must/ought to/to need to/
帮助,bāngzhù,1,1,7,/assistance/aid/to help/to assist/
复习,fùxí,1,1,7,/to revise/to review/revision/CL:次[ci4]/variant of 復習|复习/to revise/to review/revision/
字,zì,1,1,7,/letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China/
写,xiě,1,1,7,/to write/
慢,màn,1,1,7,/slow/
教,jiāo,1,1,7,/religion/teaching/to make/to cause/to tell/
怎么,zěnme,1,1,7,/variant of 怎麼|怎么[zen3 me5]/
就,jiù,1,1,7,/at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning/
学,xué,1,1,7,/learn/study/science/-ology/
笔,bǐ,1,1,7,/pen/pencil/writing brush/to write or compose/the strokes of Chinese characters/classifier for sums of money deals/CL:支[zhi1]
难,nán,1,1,7,/disaster/distress/to scold/
快,kuài,1,1,7,/rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant/
哪里,nǎli,1,1,7,/where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/
第,dì,1,1,7,/(prefix indicating ordinal number e.g. first
预习,yùxí,1,1,7,/to prepare a lesson/
语法,yǔfǎ,1,1,7,/grammar/
容易,róngyì,1,1,7,/easy/likely/liable (to)/
多,duō,1,1,7,/many/much/a lot of/numerous/multi-/far more/in excess/how (to what extent)/
懂,dǒng,1,1,7,/to understand/to know/
生词,shēngcí,1,1,7,/new word (in textbook)/word that is unfamiliar or not yet studied/CL:組|组[zu3]個|个[ge4]/
汉字,hànzì,1,1,7,/Chinese character/CL:個|个[ge4]/Japanese: kanji/Korean: hanja/
有一点,yǒu yìdiǎn,1,1,7,
不谢,bú xiè,1,1,7,/don't mention it/not at all/
